"School year","Values","Sex","Age in 5 years group","Full-/Part-time","Schultyp (Ebene +1)","Number","Annotations"
"2018/19","Full-time equivalent","female","25 to 29 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","25 to 29 years","Part-time","Cumpulsory schools",485.91,
"2018/19","Full-time equivalent","female","25 to 29 years","Part-time","Academic secondary schools",321.24,
"2018/19","Full-time equivalent","female","25 to 29 years","Part-time","Other general schools (statues)",35.30,
"2018/19","Full-time equivalent","female","25 to 29 years","Part-time","Vocational schools for apprentices",5.11,
"2018/19","Full-time equivalent","female","25 to 29 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",167.80,
"2018/19","Full-time equivalent","female","25 to 29 years","Part-time","Other schools and colleges for Vocational Education (statutes)",7.33,
"2018/19","Full-time equivalent","female","25 to 29 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","30 to 34 years","Full-time","Cumpulsory schools",3066.36,
"2018/19","Full-time equivalent","female","30 to 34 years","Full-time","Academic secondary schools",1087.93,
"2018/19","Full-time equivalent","female","30 to 34 years","Full-time","Other general schools (statues)",62.47,
"2018/19","Full-time equivalent","female","30 to 34 years","Full-time","Vocational schools for apprentices",36.49,
"2018/19","Full-time equivalent","female","30 to 34 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",567.89,
"2018/19","Full-time equivalent","female","30 to 34 years","Full-time","Other schools and colleges for Vocational Education (statutes)",11.52,
"2018/19","Full-time equivalent","female","30 to 34 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","30 to 34 years","Part-time","Cumpulsory schools",711.93,
"2018/19","Full-time equivalent","female","30 to 34 years","Part-time","Academic secondary schools",304.32,
"2018/19","Full-time equivalent","female","30 to 34 years","Part-time","Other general schools (statues)",40.56,
"2018/19","Full-time equivalent","female","30 to 34 years","Part-time","Vocational schools for apprentices",18.40,
"2018/19","Full-time equivalent","female","30 to 34 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",186.91,
"2018/19","Full-time equivalent","female","30 to 34 years","Part-time","Other schools and colleges for Vocational Education (statutes)",7.92,
"2018/19","Full-time equivalent","female","30 to 34 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","35 to 39 years","Full-time","Cumpulsory schools",2796.17,
"2018/19","Full-time equivalent","female","35 to 39 years","Full-time","Academic secondary schools",787.42,
"2018/19","Full-time equivalent","female","35 to 39 years","Full-time","Other general schools (statues)",69.03,
"2018/19","Full-time equivalent","female","35 to 39 years","Full-time","Vocational schools for apprentices",81.93,
"2018/19","Full-time equivalent","female","35 to 39 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",526.04,
"2018/19","Full-time equivalent","female","35 to 39 years","Full-time","Other schools and colleges for Vocational Education (statutes)",12.13,
"2018/19","Full-time equivalent","female","35 to 39 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","35 to 39 years","Part-time","Cumpulsory schools",1478.09,
"2018/19","Full-time equivalent","female","35 to 39 years","Part-time","Academic secondary schools",516.61,
"2018/19","Full-time equivalent","female","35 to 39 years","Part-time","Other general schools (statues)",38.95,
"2018/19","Full-time equivalent","female","35 to 39 years","Part-time","Vocational schools for apprentices",31.19,
"2018/19","Full-time equivalent","female","35 to 39 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",357.97,
"2018/19","Full-time equivalent","female","35 to 39 years","Part-time","Other schools and colleges for Vocational Education (statutes)",18.52,
"2018/19","Full-time equivalent","female","35 to 39 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","40 to 44 years","Full-time","Cumpulsory schools",3681.77,
"2018/19","Full-time equivalent","female","40 to 44 years","Full-time","Academic secondary schools",786.53,
"2018/19","Full-time equivalent","female","40 to 44 years","Full-time","Other general schools (statues)",80.91,
"2018/19","Full-time equivalent","female","40 to 44 years","Full-time","Vocational schools for apprentices",120.75,
"2018/19","Full-time equivalent","female","40 to 44 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",721.46,
"2018/19","Full-time equivalent","female","40 to 44 years","Full-time","Other schools and colleges for Vocational Education (statutes)",23.85,
"2018/19","Full-time equivalent","female","40 to 44 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","40 to 44 years","Part-time","Cumpulsory schools",1674.65,
"2018/19","Full-time equivalent","female","40 to 44 years","Part-time","Academic secondary schools",560.46,
"2018/19","Full-time equivalent","female","40 to 44 years","Part-time","Other general schools (statues)",35.94,
"2018/19","Full-time equivalent","female","40 to 44 years","Part-time","Vocational schools for apprentices",58.75,
"2018/19","Full-time equivalent","female","40 to 44 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",421.75,
"2018/19","Full-time equivalent","female","40 to 44 years","Part-time","Other schools and colleges for Vocational Education (statutes)",30.30,
"2018/19","Full-time equivalent","female","40 to 44 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","45 to 49 years","Full-time","Cumpulsory schools",5294.44,
"2018/19","Full-time equivalent","female","45 to 49 years","Full-time","Academic secondary schools",1027.00,
"2018/19","Full-time equivalent","female","45 to 49 years","Full-time","Other general schools (statues)",94.55,
"2018/19","Full-time equivalent","female","45 to 49 years","Full-time","Vocational schools for apprentices",238.11,
"2018/19","Full-time equivalent","female","45 to 49 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1141.07,
"2018/19","Full-time equivalent","female","45 to 49 years","Full-time","Other schools and colleges for Vocational Education (statutes)",42.00,
"2018/19","Full-time equivalent","female","45 to 49 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","45 to 49 years","Part-time","Cumpulsory schools",1546.41,
"2018/19","Full-time equivalent","female","45 to 49 years","Part-time","Academic secondary schools",424.25,
"2018/19","Full-time equivalent","female","45 to 49 years","Part-time","Other general schools (statues)",42.02,
"2018/19","Full-time equivalent","female","45 to 49 years","Part-time","Vocational schools for apprentices",60.02,
"2018/19","Full-time equivalent","female","45 to 49 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",421.62,
"2018/19","Full-time equivalent","female","45 to 49 years","Part-time","Other schools and colleges for Vocational Education (statutes)",36.27,
"2018/19","Full-time equivalent","female","45 to 49 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","50 to 54 years","Full-time","Cumpulsory schools",6474.06,
"2018/19","Full-time equivalent","female","50 to 54 years","Full-time","Academic secondary schools",1528.41,
"2018/19","Full-time equivalent","female","50 to 54 years","Full-time","Other general schools (statues)",92.12,
"2018/19","Full-time equivalent","female","50 to 54 years","Full-time","Vocational schools for apprentices",296.25,
"2018/19","Full-time equivalent","female","50 to 54 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1588.03,
"2018/19","Full-time equivalent","female","50 to 54 years","Full-time","Other schools and colleges for Vocational Education (statutes)",81.39,
"2018/19","Full-time equivalent","female","50 to 54 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","50 to 54 years","Part-time","Cumpulsory schools",1595.61,
"2018/19","Full-time equivalent","female","50 to 54 years","Part-time","Academic secondary schools",381.02,
"2018/19","Full-time equivalent","female","50 to 54 years","Part-time","Other general schools (statues)",41.41,
"2018/19","Full-time equivalent","female","50 to 54 years","Part-time","Vocational schools for apprentices",54.47,
"2018/19","Full-time equivalent","female","50 to 54 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",379.79,
"2018/19","Full-time equivalent","female","50 to 54 years","Part-time","Other schools and colleges for Vocational Education (statutes)",32.44,
"2018/19","Full-time equivalent","female","50 to 54 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","55 to 59 years","Full-time","Cumpulsory schools",6941.15,
"2018/19","Full-time equivalent","female","55 to 59 years","Full-time","Academic secondary schools",1693.22,
"2018/19","Full-time equivalent","female","55 to 59 years","Full-time","Other general schools (statues)",75.58,
"2018/19","Full-time equivalent","female","55 to 59 years","Full-time","Vocational schools for apprentices",213.82,
"2018/19","Full-time equivalent","female","55 to 59 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1888.18,
"2018/19","Full-time equivalent","female","55 to 59 years","Full-time","Other schools and colleges for Vocational Education (statutes)",82.72,
"2018/19","Full-time equivalent","female","55 to 59 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","55 to 59 years","Part-time","Cumpulsory schools",2338.32,
"2018/19","Full-time equivalent","female","55 to 59 years","Part-time","Academic secondary schools",390.91,
"2018/19","Full-time equivalent","female","55 to 59 years","Part-time","Other general schools (statues)",29.34,
"2018/19","Full-time equivalent","female","55 to 59 years","Part-time","Vocational schools for apprentices",59.43,
"2018/19","Full-time equivalent","female","55 to 59 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",375.49,
"2018/19","Full-time equivalent","female","55 to 59 years","Part-time","Other schools and colleges for Vocational Education (statutes)",30.88,
"2018/19","Full-time equivalent","female","55 to 59 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","60 to 64 years","Full-time","Cumpulsory schools",3642.98,
"2018/19","Full-time equivalent","female","60 to 64 years","Full-time","Academic secondary schools",1193.52,
"2018/19","Full-time equivalent","female","60 to 64 years","Full-time","Other general schools (statues)",39.90,
"2018/19","Full-time equivalent","female","60 to 64 years","Full-time","Vocational schools for apprentices",69.48,
"2018/19","Full-time equivalent","female","60 to 64 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",1057.12,
"2018/19","Full-time equivalent","female","60 to 64 years","Full-time","Other schools and colleges for Vocational Education (statutes)",18.05,
"2018/19","Full-time equivalent","female","60 to 64 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","60 to 64 years","Part-time","Cumpulsory schools",1518.31,
"2018/19","Full-time equivalent","female","60 to 64 years","Part-time","Academic secondary schools",336.18,
"2018/19","Full-time equivalent","female","60 to 64 years","Part-time","Other general schools (statues)",14.17,
"2018/19","Full-time equivalent","female","60 to 64 years","Part-time","Vocational schools for apprentices",18.25,
"2018/19","Full-time equivalent","female","60 to 64 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",223.82,
"2018/19","Full-time equivalent","female","60 to 64 years","Part-time","Other schools and colleges for Vocational Education (statutes)",8.97,
"2018/19","Full-time equivalent","female","60 to 64 years","Part-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","older than 65 years","Full-time","Cumpulsory schools",24.04,
"2018/19","Full-time equivalent","female","older than 65 years","Full-time","Academic secondary schools",23.90,
"2018/19","Full-time equivalent","female","older than 65 years","Full-time","Other general schools (statues)",6.00,
"2018/19","Full-time equivalent","female","older than 65 years","Full-time","Vocational schools for apprentices",3.00,
"2018/19","Full-time equivalent","female","older than 65 years","Full-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",10.05,
"2018/19","Full-time equivalent","female","older than 65 years","Full-time","Other schools and colleges for Vocational Education (statutes)",1.00,
"2018/19","Full-time equivalent","female","older than 65 years","Full-time","Teacher-training colleges (till 2015/16)",-,
"2018/19","Full-time equivalent","female","older than 65 years","Part-time","Cumpulsory schools",5.49,
"2018/19","Full-time equivalent","female","older than 65 years","Part-time","Academic secondary schools",7.86,
"2018/19","Full-time equivalent","female","older than 65 years","Part-time","Other general schools (statues)",5.42,
"2018/19","Full-time equivalent","female","older than 65 years","Part-time","Vocational schools for apprentices",-,
"2018/19","Full-time equivalent","female","older than 65 years","Part-time","Schools for Intermediate and Colleges for Higher Voc. Ed.",0.80,
